timestamp,Humidity(%),Temperature
2025-09-24 09:41:25+00:00,66.9,25.65
2025-09-24 09:41:41+00:00,63.4,27.5
2025-09-24 09:42:08+00:00,65.1,27.17
2025-09-24 09:42:25+00:00,62.1,27.44
2025-09-24 09:42:42+00:00,60.5,27.4
2025-09-24 09:42:58+00:00,66.0,26.46
2025-09-24 09:43:14+00:00,65.1,26.22
2025-09-24 09:43:30+00:00,66.1,26.03
2025-09-24 09:43:47+00:00,67.0,25.76
2025-09-24 09:44:02+00:00,65.9,25.69
2025-09-24 09:44:19+00:00,67.5,25.52
2025-09-24 09:44:37+00:00,67.2,25.67
2025-09-24 09:45:03+00:00,64.4,27.22
2025-09-24 09:45:25+00:00,65.2,27.17
2025-09-24 09:45:40+00:00,61.8,27.4
2025-09-24 09:45:59+00:00,66.0,26.51
2025-09-24 09:46:14+00:00,64.8,26.2
2025-09-24 09:46:29+00:00,66.1,26.03
2025-09-24 09:46:52+00:00,66.9,25.78
2025-09-24 09:47:09+00:00,65.8,25.68
2025-09-24 09:47:26+00:00,67.7,25.56
2025-09-24 09:47:42+00:00,67.2,25.52
2025-09-24 09:47:59+00:00,64.7,26.82
2025-09-24 09:48:16+00:00,65.2,27.13
2025-09-24 09:48:31+00:00,63.3,27.29
2025-09-24 09:48:47+00:00,61.9,27.43
2025-09-24 09:49:02+00:00,65.8,26.24
2025-09-24 09:49:18+00:00,65.7,26.22
2025-09-24 09:50:21+00:00,66.3,25.74
2025-09-24 09:50:38+00:00,65.8,25.68
2025-09-24 09:50:53+00:00,67.4,25.51
2025-09-24 09:51:09+00:00,67.4,25.56
2025-09-24 09:51:33+00:00,64.6,26.94
2025-09-24 09:51:50+00:00,64.4,27.22
2025-09-24 09:52:22+00:00,65.2,27.17
2025-09-24 09:52:39+00:00,63.3,27.29
2025-09-24 09:52:56+00:00,61.8,27.42
2025-09-24 09:53:21+00:00,66.0,26.46
2025-09-24 09:53:38+00:00,65.1,26.22
2025-09-24 09:54:10+00:00,66.1,26.03
2025-09-24 09:54:39+00:00,65.7,25.67
2025-09-24 09:54:56+00:00,65.8,25.68
2025-09-24 09:55:25+00:00,67.5,25.52
2025-09-24 09:55:52+00:00,67.2,25.67
2025-09-24 09:56:15+00:00,63.4,27.5
2025-09-24 09:56:31+00:00,65.2,27.17
2025-09-24 09:56:56+00:00,61.8,27.42
2025-09-24 09:57:16+00:00,62.6,27.43
2025-09-24 09:57:36+00:00,66.0,26.41
2025-09-24 09:58:05+00:00,64.8,26.2
2025-09-24 09:58:23+00:00,65.7,26.22
2025-09-24 09:58:43+00:00,66.4,25.93
2025-09-24 09:59:00+00:00,66.3,25.74
2025-09-24 09:59:17+00:00,67.7,25.56
2025-09-24 09:59:35+00:00,67.3,25.56
2025-09-24 09:59:52+00:00,64.6,26.94
2025-09-24 10:00:07+00:00,65.1,27.15
2025-09-24 10:00:22+00:00,62.1,27.44
2025-09-24 10:00:39+00:00,62.6,27.43
2025-09-24 10:00:56+00:00,65.8,26.24
2025-09-24 10:01:12+00:00,65.7,26.22
2025-09-24 10:01:29+00:00,66.1,26.03
2025-09-24 10:01:44+00:00,67.0,25.76
2025-09-24 10:02:00+00:00,65.9,25.69
2025-09-24 10:02:15+00:00,67.4,25.51
2025-09-24 10:02:31+00:00,67.4,25.6
2025-09-24 10:02:56+00:00,63.4,27.43
2025-09-24 10:03:11+00:00,65.0,27.17
2025-09-24 10:03:28+00:00,65.2,27.15
2025-09-24 10:03:43+00:00,61.2,27.4
2025-09-24 10:03:58+00:00,66.0,26.41
2025-09-24 10:04:14+00:00,65.9,26.26
2025-09-24 10:05:12+00:00,67.2,25.79
2025-09-24 10:05:28+00:00,65.8,25.68
2025-09-24 10:05:45+00:00,67.0,25.61
2025-09-24 10:06:06+00:00,67.4,25.51
2025-09-24 10:06:34+00:00,66.9,25.65
2025-09-24 10:06:50+00:00,63.4,27.43
2025-09-24 10:07:06+00:00,65.0,27.17
2025-09-24 10:07:23+00:00,65.2,27.15
2025-09-24 10:07:40+00:00,61.8,27.4
2025-09-24 10:07:56+00:00,64.0,27.47
2025-09-24 10:08:12+00:00,64.8,26.2
2025-09-24 10:08:27+00:00,66.1,26.03
2025-09-24 10:08:43+00:00,67.0,25.76
2025-09-24 10:08:59+00:00,65.9,25.69
2025-09-24 10:09:16+00:00,67.7,25.58
2025-09-24 10:09:33+00:00,67.4,25.51
2025-09-24 10:09:51+00:00,67.2,25.52
2025-09-24 10:10:07+00:00,67.4,25.56
2025-09-24 10:10:36+00:00,67.2,25.71
2025-09-24 10:10:53+00:00,63.4,27.43
2025-09-24 10:11:18+00:00,65.0,27.17
2025-09-24 10:12:08+00:00,62.1,27.44
2025-09-24 10:12:25+00:00,60.5,27.4
2025-09-24 10:12:43+00:00,62.6,27.43
2025-09-24 10:12:59+00:00,65.0,26.22
2025-09-24 10:13:16+00:00,65.9,26.26
2025-09-24 10:13:42+00:00,65.8,26.03
2025-09-24 10:13:58+00:00,67.2,25.79
2025-09-24 10:14:16+00:00,65.8,25.68
2025-09-24 10:14:33+00:00,67.4,25.51
2025-09-24 10:14:55+00:00,67.4,25.56
2025-09-24 10:15:12+00:00,67.2,25.67
2025-09-24 10:15:28+00:00,64.4,27.22
2025-09-24 10:15:43+00:00,65.1,27.17
2025-09-24 10:15:58+00:00,60.5,27.4
2025-09-24 10:16:14+00:00,66.0,26.41
2025-09-24 10:16:29+00:00,65.9,26.26
2025-09-24 10:16:48+00:00,65.8,26.03
2025-09-24 10:17:05+00:00,67.0,25.76
2025-09-24 10:17:22+00:00,67.0,25.61
2025-09-24 10:17:38+00:00,67.2,25.56
2025-09-24 10:17:54+00:00,67.2,25.67
2025-09-24 10:18:11+00:00,64.9,27.15
2025-09-24 10:18:27+00:00,65.2,27.15
2025-09-24 10:18:44+00:00,61.9,27.43
2025-09-24 10:19:00+00:00,65.6,26.26
2025-09-24 10:19:16+00:00,66.1,26.2
2025-09-24 10:19:31+00:00,67.2,25.79
2025-09-24 10:19:47+00:00,65.8,25.68
2025-09-24 10:20:02+00:00,67.7,25.58
2025-09-24 10:20:18+00:00,67.3,25.56
2025-09-24 10:20:35+00:00,64.6,26.94
2025-09-24 12:24:46+00:00,65.7,26.22
2025-09-24 12:25:12+00:00,66.4,25.93
2025-09-24 12:25:34+00:00,67.2,25.79
2025-09-24 12:26:01+00:00,65.8,25.69
2025-09-24 12:26:16+00:00,67.7,25.56
2025-09-24 12:26:33+00:00,67.2,25.56
2025-09-24 12:26:51+00:00,66.9,25.65
2025-09-24 12:27:08+00:00,67.2,25.71
2025-09-24 12:27:24+00:00,64.4,27.22
2025-09-24 12:27:41+00:00,65.0,27.17
2025-09-24 12:27:56+00:00,61.8,27.4
2025-09-24 12:28:12+00:00,62.6,27.43
2025-09-24 12:28:29+00:00,62.4,27.6
2025-09-24 12:28:46+00:00,61.8,27.7
2025-09-24 12:29:01+00:00,66.8,25.91
2025-09-24 12:31:01+00:00,65.7,25.67
2025-09-24 12:31:16+00:00,67.7,25.58
2025-09-24 12:31:33+00:00,67.4,25.6
2025-09-24 12:31:48+00:00,63.4,27.5
2025-09-24 12:32:04+00:00,65.2,27.15
2025-09-24 12:32:22+00:00,62.6,27.43
2025-09-24 12:32:38+00:00,66.1,26.2
2025-09-24 12:32:54+00:00,67.2,25.79
2025-09-24 12:33:11+00:00,67.0,25.76
2025-09-24 12:33:29+00:00,67.7,25.56
2025-09-24 12:33:45+00:00,67.4,25.56
2025-09-24 12:34:02+00:00,64.6,26.94
2025-09-24 12:34:18+00:00,65.0,27.17
2025-09-24 12:34:34+00:00,60.5,27.4
2025-09-24 12:34:51+00:00,62.4,27.67
2025-09-24 12:35:06+00:00,66.4,25.93
2025-09-24 12:35:23+00:00,65.7,25.67
2025-09-24 12:35:38+00:00,67.7,25.58
2025-09-24 12:35:56+00:00,67.2,25.56
2025-09-24 12:36:16+00:00,67.4,25.6
2025-09-24 12:36:32+00:00,63.4,27.5
2025-09-24 12:36:47+00:00,65.1,27.17
2025-09-24 12:37:04+00:00,61.9,27.43
2025-09-24 12:37:19+00:00,61.8,27.7
2025-09-24 12:37:36+00:00,67.2,25.79
2025-09-24 12:37:52+00:00,65.8,25.68
2025-09-24 12:38:16+00:00,67.7,25.58
2025-09-24 12:38:33+00:00,67.4,25.6
2025-09-24 12:38:49+00:00,63.4,27.5
2025-09-24 12:39:04+00:00,65.1,27.17
2025-09-24 12:39:20+00:00,61.2,27.4
2025-09-24 12:39:36+00:00,61.8,27.7
2025-09-24 12:39:52+00:00,67.2,25.79
2025-09-24 12:40:09+00:00,65.8,25.68
2025-09-24 12:40:25+00:00,67.2,25.56
2025-09-24 12:40:42+00:00,64.7,26.82
2025-09-24 12:40:57+00:00,65.1,27.15
2025-09-24 12:41:14+00:00,61.8,27.42
2025-09-24 12:41:31+00:00,62.0,27.64
2025-09-24 12:41:46+00:00,66.4,25.93
2025-09-24 12:42:03+00:00,65.8,25.69
2025-09-24 12:42:20+00:00,67.4,25.51
2025-09-24 12:42:36+00:00,67.2,25.67
2025-09-24 12:42:52+00:00,64.9,27.15
2025-09-24 12:43:09+00:00,62.1,27.44
2025-09-24 12:43:27+00:00,61.2,27.4
2025-09-24 12:43:54+00:00,61.8,27.7
2025-09-24 12:44:11+00:00,67.2,25.79
2025-09-24 12:44:27+00:00,65.8,25.68
2025-09-24 12:44:44+00:00,67.2,25.56
2025-09-24 12:45:00+00:00,67.2,25.67
2025-09-24 12:45:16+00:00,65.2,27.13
2025-09-24 12:45:32+00:00,61.8,27.4
2025-09-24 12:45:50+00:00,62.4,27.6
2025-09-24 12:46:05+00:00,66.1,26.03
2025-09-24 12:46:20+00:00,66.3,25.74
2025-09-24 12:46:37+00:00,65.8,25.68
2025-09-24 12:46:59+00:00,67.4,25.51
2025-09-24 12:47:16+00:00,67.4,25.6
2025-09-24 12:47:32+00:00,64.4,27.22
2025-09-24 12:47:49+00:00,63.3,27.29
2025-09-24 12:48:04+00:00,62.6,27.43
2025-09-24 12:48:22+00:00,66.1,26.2
2025-09-24 12:48:39+00:00,66.8,25.91
2025-09-24 12:48:55+00:00,65.8,25.68
2025-09-24 12:49:11+00:00,67.4,25.51
2025-09-24 12:49:27+00:00,67.2,25.67
2025-09-24 12:49:43+00:00,64.9,27.15
2025-09-24 12:50:00+00:00,62.1,27.44
2025-09-24 12:50:17+00:00,61.8,27.54
2025-09-24 12:50:32+00:00,66.1,26.2
2025-09-24 12:53:54+00:00,67.2,25.79
2025-09-24 12:54:10+00:00,67.0,25.76
2025-09-24 12:54:27+00:00,67.7,25.56
2025-09-24 12:54:44+00:00,67.4,25.56
2025-09-24 12:55:04+00:00,64.7,26.82
2025-09-24 12:55:20+00:00,65.0,27.17
2025-09-24 12:55:37+00:00,60.5,27.4
2025-09-24 12:55:54+00:00,62.4,27.67
2025-09-24 12:56:10+00:00,67.2,25.79
2025-09-24 12:56:26+00:00,65.8,25.68
2025-09-24 12:56:42+00:00,67.2,25.56
2025-09-24 12:56:58+00:00,64.7,26.82
2025-09-24 12:57:15+00:00,65.2,27.13
2025-09-24 12:57:30+00:00,62.1,27.44
2025-09-24 12:57:47+00:00,64.0,27.47
2025-09-24 12:58:02+00:00,65.8,26.03
2025-09-24 12:58:19+00:00,67.0,25.76
2025-09-24 12:58:35+00:00,65.9,25.69
2025-09-24 12:58:51+00:00,67.2,25.56
2025-09-24 12:59:08+00:00,64.7,26.82
2025-09-24 12:59:25+00:00,65.0,27.17
2025-09-24 12:59:41+00:00,61.8,27.42
2025-09-24 12:59:57+00:00,62.0,27.64
2025-09-24 13:00:13+00:00,66.8,25.91
2025-09-24 13:00:28+00:00,65.8,25.69
2025-09-24 13:00:53+00:00,67.4,25.51
2025-09-24 13:01:12+00:00,67.2,25.52
2025-09-24 13:01:28+00:00,64.6,26.94
2025-09-24 13:01:44+00:00,65.0,27.17
2025-09-24 13:02:00+00:00,61.8,27.42
2025-09-24 13:02:17+00:00,62.0,27.64
2025-09-24 13:02:35+00:00,66.4,25.93
2025-09-24 13:02:51+00:00,65.8,25.69
2025-09-24 13:03:07+00:00,67.4,25.51
2025-09-24 13:03:24+00:00,66.9,25.65
2025-09-24 13:03:39+00:00,64.4,27.22
2025-09-24 13:03:56+00:00,63.3,27.29
2025-09-24 13:04:12+00:00,64.0,27.47
2025-09-24 13:04:29+00:00,65.8,26.03
2025-09-24 13:04:46+00:00,66.3,25.74
2025-09-24 13:05:14+00:00,67.7,25.58
2025-09-24 13:05:37+00:00,67.4,25.56
2025-09-24 13:06:05+00:00,63.4,27.5
2025-09-24 13:06:22+00:00,65.2,27.15
2025-09-24 13:06:38+00:00,62.6,27.43
2025-09-24 13:06:56+00:00,65.8,26.03
2025-09-24 13:07:13+00:00,66.3,25.74
2025-09-24 13:07:30+00:00,67.7,25.58
2025-09-24 13:07:48+00:00,67.2,25.56
2025-09-24 13:08:04+00:00,64.7,26.82
2025-09-24 13:08:30+00:00,65.0,27.17
2025-09-24 13:08:54+00:00,61.8,27.42
2025-09-24 13:09:26+00:00,61.8,27.54
2025-09-24 13:09:52+00:00,66.4,25.93
2025-09-24 13:10:09+00:00,65.8,25.69
2025-09-24 13:10:26+00:00,67.4,25.51
2025-09-24 13:10:42+00:00,66.9,25.65
2025-09-24 13:11:04+00:00,63.4,27.5
2025-09-24 13:11:19+00:00,65.1,27.17
2025-09-24 13:11:35+00:00,61.2,27.4
2025-09-24 13:11:51+00:00,61.8,27.7
2025-09-24 13:12:08+00:00,67.2,25.79
2025-09-24 13:12:25+00:00,65.9,25.69
2025-09-24 13:12:40+00:00,67.2,25.56
2025-09-24 13:13:02+00:00,67.2,25.67
2025-09-24 13:13:18+00:00,64.9,27.15
2025-09-24 13:13:33+00:00,63.3,27.29
2025-09-24 13:13:50+00:00,64.0,27.47
2025-09-24 13:14:06+00:00,65.8,26.03
2025-09-24 13:14:34+00:00,65.7,25.67
2025-09-24 13:14:51+00:00,67.4,25.51
2025-09-24 13:15:07+00:00,66.9,25.65
2025-09-24 13:15:22+00:00,64.4,27.22
2025-09-24 13:15:39+00:00,63.3,27.29
2025-09-24 13:15:55+00:00,64.0,27.47
2025-09-24 13:16:15+00:00,62.4,27.67
2025-09-24 13:16:32+00:00,66.9,25.78
2025-09-24 13:16:48+00:00,67.0,25.61
2025-09-24 13:17:10+00:00,67.5,25.52
2025-09-24 13:17:26+00:00,67.2,25.71
